Company,Profile URL,Website,Phone,Email,Address,Social,Contact person,Заметка
VILISOFT,https://workspace.ru/contractors/aleksandr-vilisov/,https://vilisoft.ru/,+7 345 256-43-27,,"Урицкого 5, Тюмень",vilisoft.ru,Александр Вилисов (CEO),email не публикуется — только тел/TG/WhatsApp
ООО Айтипро,https://workspace.ru/contractors/ooo-aytipro/,https://anyit.pro,8 982 900-88-88 / 8 912 923-51-26,babich.artem.72@mail.ru,"ул. Республики 5а, офис 2, Тюмень",t.me/itpro_inbox_bot,Артем Бабич,
VU Team,https://workspace.ru/contractors/vu-team/,https://vu-team.com/,8 985 927-63-53,,"ул. Щербакова 160, оф. 413, Тюмень",,Иван Деник,сайт блокирует автофетч — проверить вручную
SIMVOL,https://workspace.ru/contractors/simvol/,https://simvol.agency,+7 906 822-81-81,hello@simvol.agency,Тюмень,t.me/simvol_agency; vk.com/simvol.agency,Александр Симаков,
SiteLabs,https://workspace.ru/contractors/anton-s-e/,https://sitelabs.ru,+7 999 548-29-87,info@sitelabs.ru,"Урицкого 36, Тюмень",vk.com/sites_lab,Anton S e,
ООО ИТ-РЕШЕНИЕ,https://workspace.ru/contractors/ooo-it-reshenie/,https://saastrade.ru,+7 3452 692-077 / +7 904 493-06-66,sale@072rus.ru,"ул. Володарского 14, Тюмень",,Александр Макаров,
Кристина Комленкова,https://workspace.ru/contractors/kristina-komlenkova/,,8 912 385-84-25,,"Мельникайте 144а, Тюмень",wa.me/79123858425,Кристина Комленкова,нет сайта — писать в WhatsApp
Sсroll digital,https://workspace.ru/contractors/ssroll-digital/,https://скролл.рф,8 912 999-84-37,,"ул. 50 лет ВЛКСМ 49 ст3, офис 406, Тюмень",instagram.com/scroll.digital,Никита Савин,email не проверен (домен на кириллице)
Сергей Морев,https://workspace.ru/contractors/sergey-morev/,https://idult.ru,+7 3452 348-300,,"30 лет Победы 27а, 711, Тюмень",,Сергей Морев,домен не работает (заглушка хостинга)
17.03,https://workspace.ru/contractors/web-tmn/,https://web-tmn.ru,+7 3452 604-401,,"Республики 160, Тюмень",,Анатолий Киосев,сайт JS-only — email не извлечь
Ex-Digital,https://workspace.ru/contractors/ex-digita/,https://ex-digital.ru/,+7 495 118-36-16,info@ex-digital.ru,"Республики 143, Тюмень",,Максим Головин,
SvTop,https://workspace.ru/contractors/svtop/,https://svtop.ru,+7 958 261-89-90,,"ул. Логунова 16а, Тюмень",,Сергей Петров,сайт недоступен — проверить позже
WW,https://workspace.ru/contractors/ww-net/,https://ww.net.ru/,8 3452 51-41-55 / 8 919 922-70-00,info@ww.net.ru,"Комсомольская 57, этаж 3, Тюмень",vk.com/webstudioww,Денис Филипенко,
«Актив»,https://workspace.ru/contractors/reklama072/,https://reklama072.ru/,8 3452 607-357,stanislav@reklama072.ru,"Максима Горького 44, офис 204, Тюмень",,Станислав Бавыкин,личный ящик директора
iNeed Digital,https://workspace.ru/contractors/ineed-digital/,https://ineed.digital/,+7 922 047-38-52,,"ул. Коммунаров 7, Тюмень",,Кирилл Культиков,домен припаркован/продаётся — проверить статус
General Marketing,https://workspace.ru/contractors/gm29/,https://gm29.ru,+7 995 302-16-06,,"50 лет Октября 8/1, офис 603, Тюмень",,Aleksandr Negodyaev,сайт JS-only — email не извлечь
«КупиСайт»,https://workspace.ru/contractors/kupisajt-rf/,https://куписайт.рф,+7 495 118-36-87 / +7 923 649-56-70,ksenya@куписайт.рф,"Максима Горького 44, Тюмень",,Ксения,
ArtSky Studio,https://workspace.ru/contractors/artsky-s/,https://artsky-s.ru/,+7 3452 58-59-28,,Тюмень,,Артём Семухин,домен перепродан (казино-контент) — компания под вопросом
Bear Media,https://workspace.ru/contractors/empil/,https://bear-media.ru/,8 982 948-11-46 / 8 3452 381-146,,"ул. Володарского 57, Тюмень",vk.com/bearmedia72; t.me/bear_mediat,Илья Ударцев (Руководитель отдела маркетинга),email не публикуется — форма/TG
K81.web,https://workspace.ru/contractors/k81-su/,https://k81.su,+7 932 200-49-32,,"ул. Гилевская роща 8/2, Тюмень",,Aleksandr Kaydalov,сайт на техобслуживании
«Тематика»,https://workspace.ru/contractors/tmtka/,https://www.tmtka.ru,8 922 070-03-40,,"ул. Республики 142, Тюмень",,Семен Худышкин,сайт блокирует автофетч — проверить вручную
SunWeb,https://workspace.ru/contractors/sunweb-pro/,https://sunweb.pro,+7 3452 565-323 / +7 3452 606-507,info@sunweb.pro,"ул. Калинина 22/1, Тюмень",,Азат Нигматуллин,
Kowalski,https://workspace.ru/contractors/kowalski/,https://kowalski.su/,+7 906 824-04-56 / +7 906 825-44-41,info@kowalski.su,"ул. Республики 81, эт. 5, оф. 505, Тюмень",vk.com/kowalskisu,Иван Жуков,
Gabix,https://workspace.ru/contractors/tumedia/,https://gabix.studio,+7 3452 60-28-28,,"Московский тракт 161/1, Тюмень",,Алексей Якимов,сайт блокирует автофетч — проверить вручную
АльтСайт,https://workspace.ru/contractors/altsite/,http://altsite.ru,+7 969 809-00-00,,"ул. Рябиновая 1г, Тюмень",vk.com/altsite72,Евгений Значковский,сайт JS-only — email не извлечь
Hermes,https://workspace.ru/contractors/hermes-ads/,http://hermes-ads.ru,+7 982 900-08-99,,"ул. Дмитрия Менделеева 1, Тюмень",,Андрей Береснев,сайт блокирует автофетч — проверить вручную
Starcev Digital,https://workspace.ru/contractors/starcev-digital/,https://starcev-digital.ru,+7 3452 92-35-07,info@starcev-digital.ru,"Мельникайте 101/9, Тюмень",vk.com/starcevsmm,Александр Старцев,
Point Web,https://workspace.ru/contractors/point-web/,https://point-web.ru,8 909 736-31-05,,"Харьковская 75а, Тюмень",,Дмитрий Чемакин,сайт блокирует автофетч — проверить вручную
«Маркетинг и Реклама»,https://workspace.ru/contractors/sozdanie-saitov72-rf/,https://создание-сайтов72.рф,8 982 916-48-52,,"ул. Мельникайте 44а/1, Тюмень",,Максим Кротов,сайт блокирует автофетч — проверить вручную
il-studio,https://workspace.ru/contractors/il-studio/,http://il-studio.ru,+7 919 945-40-75,welcome@il-studio.ru,"ул. Республики 142, оф. 127, Тюмень",,Иван Лукьянец,
ИнфоСистем,https://workspace.ru/contractors/isait/,https://isait.ru/,+7 3452 38-85-85,,"ул. Молодежная 8, БЦ Тайм, офис 215а, Тюмень",vk.com/isaitru,Алексей Зальтов,студия официально закрыта
Pospelov Digital,https://workspace.ru/contractors/gtsites/,https://pospelovdigital.ru/,+7 929 265-96-14,welcome@pospelovdigital.ru,"ул. Харьковская 83а к4, офис 622, Тюмень",vk.com/pospelovdigital,Максим Поспелов,
One Click,https://workspace.ru/contractors/oneclickseo/,http://oneclickseo.ru/,+7 3452 60-22-45,sales@oneclickseo.ru,"ул. Республики 61, офис 1012, Тюмень",vk.com/oneclickseo,Евгений Еремин,
Every Day,https://workspace.ru/contractors/everyday36/,,+7 912 608-86-27 / +7 912 632-70-08,,"Мельникайте 100, Тюмень",,Дмитрий Беседин,нет сайта — писать по телефону
Арт Групп,https://workspace.ru/contractors/yeswecode/,https://tmnweb.ru,+7 3452 54-80-01,,"ул. Николая Федорова 9, Тюмень",,Артем Нуруллин,SSL-сертификат истёк — проверить вручную
User Metrics,https://workspace.ru/contractors/usermetrics/,http://usermetrics.ru,+7 919 949-07-75,,"ул. Осипенко 14, офис 210, Тюмень",vk.com/usermetrics,Роман Поспелов,Cloudflare-защита — проверить вручную
Сайты Всем,https://workspace.ru/contractors/site4all/,http://www.site4all.ru/,+7 3452 68-01-99 / +7 922 269-78-61,mail@site4all.ru,"ул. Мельникайте 101а, оф. 607, Тюмень",vk.com/site4all,Екатерина Шпилевая,
DEMTEAM,https://workspace.ru/contractors/demteam/,https://www.demteam.ru,+7 3452 69-22-38 / +7 3452 39-33-29,privet@demteam.ru,"ул. 30 лет Победы 81а к1, офис 303, Тюмень",vk.com/demteam_ru,Дмитрий Вологин,
Olive Design,https://workspace.ru/contractors/deolive/,http://deolive.ru/,+7 3452 55-13-74,,"ул. Монтажников 1/4, Тюмень",,Денис Вдовиченко,домен редиректит на сторонний сайт — статус под вопросом
Промедиа,https://workspace.ru/contractors/promolive/,https://www.promolive.ru,+7 3452 73-73-97,,"ул. Чернышевского 2Б/3, Тюмень",,Павел Огнев,сайт под HTTP-авторизацией — проверить вручную
Villa studio,https://workspace.ru/contractors/villaint/,https://villastudio.ru,+7 912 922-08-46,,"Комсомольская 23, офис 305, Тюмень",vk.com/villaint,Алексей Иващенко,домен теперь у другой компании — email не подтверждён
ИНКЕЙС,https://workspace.ru/contractors/incase72/,https://инкейс.рф,8 3452 611-105,orders@incase.site,"Тюмень (HQ Оренбург)",,—,головной офис в Оренбурге
ИП Губкин А.С.,https://workspace.ru/contractors/webdv/,https://www.alexgubkin.ru,+7 904 876-03-93,,Тюмень,,Александр Губкин,сайт недоступен (404)
Ремарк,https://workspace.ru/contractors/remark72/,https://remark.digital,+7 3452 69-23-24 / +7 499 281-65-24,yes@remark.digital,"ул. Урицкого 16, 5 этаж, Тюмень",vk.com/remark_agency,Дмитрий Севостьянов,домен сменился на remark.digital
Студия Евгения Вакуленко,https://workspace.ru/contractors/aboutstudio/,https://aboutstudio.ru,+7 3452 320-305 / 8 912 926-98-85,mail@aboutstudio.ru,"Республики 86/1, Тюмень",,Евгений Вакуленко,
BeBright,https://workspace.ru/contractors/bebright/,http://bebright.pro.tilda.ws/,+7 922 394-31-30,,"Володарского 14, Тюмень",instagram.com/bebright.pro; t.me/bebright_pro,—,Tilda-поддомен заблокирован — писать в TG/IG
Frontema,https://workspace.ru/contractors/frontema/,https://frontema.ru,+7 922 073-88-77,,"Республики 256 к2, Тюмень",,—,сайт JS-only — email не извлечь
«Медиа Сити»,https://workspace.ru/contractors/mediacity-agency/,https://mediacity.agency/,+7 3452 212-061,,"ул. Широтная 185, Тюмень",,—,найден только сторонний личный ящик — не подтверждён
P6,https://workspace.ru/contractors/p6group/,https://p6group.ru,+7 3452 618-144,,"Республики 143а, БЦ GazOil Plaza, офис 1505, Тюмень",,—,домен не существует (NXDOMAIN)
ИНЕКТ,https://workspace.ru/contractors/inekt/,https://inekt.ru,+7 3452 738-505,info@inekt.ru,"ул. Одесская 36/2, Тюмень",vk.com/inekt,—,
Simetria Marketing,https://workspace.ru/contractors/simetria-marketing/,https://www.simetria-pr.ru,8 922 002-65-82,,"ул. Дмитрия Менделеева 2 к2, Тюмень",,,"новая (Маркетинг); сайт не отдаётся — email проверить вручную"
WantResult,https://workspace.ru/contractors/more-clients/,https://more-clients.info,8 965 081-13-09,,Тюмень,,,"новая (Маркетинг); WantResult — франшиза, тюменский офис; email проверить вручную"
Приоритет,https://workspace.ru/contractors/vprioritete/,https://vprioritete.ru/,+7 3452 600-175 / +7 3452 55-12-95,welcome@vprioritete.ru,"Чернышевского 2А к12, Тюмень",vk.com/vprioritete_ru,Александр,новая (Реклама)
